"seqnames","seqlengths","nonrepeat","DNA","DNA-LINE","DNA-LINE-LTR","DNA-LINE-LTR-Unknown","DNA-LINE-RC","DNA-LINE-RC-tandem_repeat-Unknown","DNA-LINE-RC-Unknown","DNA-LINE-tandem_repeat","DNA-LINE-Unknown","DNA-LTR","DNA-LTR-RC","DNA-LTR-RC-tandem_repeat","DNA-LTR-RC-Unknown","DNA-LTR-tandem_repeat","DNA-LTR-tandem_repeat-Unknown","DNA-LTR-Unknown","DNA-RC","DNA-RC-tandem_repeat","DNA-RC-tandem_repeat-Unknown","DNA-RC-Unknown","DNA-tandem_repeat","DNA-tandem_repeat-Unknown","DNA-Unknown","LINE","LINE-LTR","LINE-LTR-RC-Unknown","LINE-LTR-Simple-tandem_repeat","LINE-LTR-Simple-tandem_repeat-Unknown","LINE-LTR-Simple-Unknown","LINE-LTR-tandem_repeat","LINE-LTR-Unknown","LINE-RC","LINE-RC-tandem_repeat","LINE-RC-tandem_repeat-Unknown","LINE-RC-Unknown","LINE-Simple-tandem_repeat","LINE-tandem_repeat","LINE-tandem_repeat-Unknown","LINE-Unknown","LTR","LTR-RC","LTR-RC-tandem_repeat","LTR-RC-tandem_repeat-Unknown","LTR-RC-Unknown","LTR-Satellite","LTR-Satellite-Unknown","LTR-Simple","LTR-Simple-tandem_repeat","LTR-Simple-tandem_repeat-Unknown","LTR-Simple-Unknown","LTR-tandem_repeat","LTR-tandem_repeat-Unknown","LTR-tRNA","LTR-tRNA-Unknown","LTR-Unknown","RC","RC-tandem_repeat","RC-tandem_repeat-Unknown","RC-Unknown","rRNA","rRNA-tandem_repeat","rRNA-Unknown","Satellite","Satellite-tandem_repeat","Satellite-tandem_repeat-Unknown","Satellite-Unknown","Simple","Simple-tandem_repeat","Simple-tandem_repeat-Unknown","Simple-Unknown","tandem_repeat","tandem_repeat-tRNA","tandem_repeat-Unknown","tRNA","tRNA-Unknown","Unknown"
"Scaffold_405",195987,147150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19112,364,75,291,260,NA,NA,NA,NA,NA,NA,273,44,NA,NA,1632,4898,1017,NA,1739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12623,NA,87,NA,NA,5749
"Scaffold_209",141839,67187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,56,11942,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,1,NA,NA,931,6675,92,NA,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41631,NA,2424,NA,NA,3973
"Scaffold_258",408087,292387,902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665,3,63,101,17023,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,783,NA,NA,50514,130,NA,NA,97,2,3,NA,NA,NA,NA,1731,71,NA,NA,2652,615,NA,NA,197,3957,143,NA,552,86,NA,NA,NA,NA,NA,NA,32138,NA,260,NA,NA,2989
"Scaffold_383",629631,339530,3763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,78,NA,NA,51,27,305,112,38858,335,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,4377,NA,154,129338,29,NA,NA,25,NA,NA,3,24,NA,NA,3196,714,NA,NA,3401,24399,623,508,3104,7230,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,49850,NA,5423,NA,NA,14038
"Scaffold_116",27208793,25213573,66194,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,7,110,NA,NA,NA,440,251,2842,55226,NA,NA,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,307,NA,738,83791,302,NA,NA,NA,NA,NA,22,384,166,NA,4958,409,NA,NA,6021,35954,3978,1385,3331,3338,238,4,4807,4176,1949,1293,2164,1355,NA,NA,1522486,NA,23876,97,NA,162502
"Scaffold_225",504029,407854,3650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341,NA,168,33011,NA,NA,46,584,NA,NA,NA,NA,NA,NA,545,133,NA,NA,987,9126,111,140,575,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,20941,NA,953,NA,NA,7459
"Scaffold_74",280035,177372,2203,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,10,NA,NA,4,12,237,911,17983,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,71,51663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1979,324,NA,NA,1535,3823,544,NA,373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11440,NA,1859,NA,NA,7592
"Scaffold_348",173843,88786,2540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,446,8497,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,39834,110,151,117,NA,NA,NA,NA,NA,NA,NA,1518,311,NA,NA,1740,16152,210,162,1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4339,NA,294,NA,NA,6652
"Scaffold_191",201142,124226,5969,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,40,140,174,366,6949,300,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,10,NA,148,41301,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5097,282,NA,NA,2274,1567,157,16,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8784,NA,108,NA,NA,2725
"Scaffold_282",94910,50814,5,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6172,38,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,24865,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2741,NA,NA,NA,NA,134,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5470,NA,249,NA,NA,4048
"Scaffold_343",189248,110894,2639,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,9575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,35446,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,2413,970,NA,NA,1434,7474,171,NA,840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7576,NA,1057,NA,NA,8515
"Scaffold_329",471541,277725,2831,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,2,NA,NA,NA,129,33,NA,127,24365,191,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,202,89712,9,NA,NA,595,NA,NA,NA,NA,NA,NA,2174,2240,NA,NA,4448,2267,47,995,595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26835,NA,10996,NA,NA,24932
"Scaffold_50",508978,380364,7180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,31,72,528,8054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,651,NA,NA,49883,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1901,88,NA,NA,3687,7044,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26460,NA,3584,NA,NA,19360
"Scaffold_413",26501692,25370103,14849,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,NA,358,575,3551,31394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,34,976,52752,534,45,NA,97,NA,NA,NA,70,NA,NA,771,NA,NA,NA,920,64497,4973,945,1554,257,NA,NA,706,NA,160,939,619,559,NA,NA,863263,55,4004,415,NA,80882
"Scaffold_355",237628,164851,1331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,248,NA,NA,2038,838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42361,365,75,290,259,NA,NA,NA,NA,NA,NA,717,NA,NA,NA,3418,2042,150,NA,1164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10947,NA,190,NA,NA,6323
"Scaffold_143",43312,25910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390,2906,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3622,NA,293,NA,NA,1941
"Scaffold_90",25015,11555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310,NA,NA,NA,490,127,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2292,NA,16,NA,NA,48
"Scaffold_396",646658,474348,15569,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,569,68,379,8648,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,39438,9,31,NA,NA,NA,NA,NA,NA,NA,NA,848,44,NA,NA,1533,15381,48,2685,1551,NA,NA,NA,NA,NA,NA,NA,37,85,NA,NA,63152,NA,1973,NA,NA,20216
"Scaffold_189",194860,146198,1025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,3411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,NA,NA,36472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,663,45,NA,NA,849,840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3682,NA,221,NA,NA,1278
"Scaffold_22",541229,356693,2748,12,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,199,1199,22215,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,4,99154,NA,NA,NA,582,NA,NA,252,167,NA,NA,1946,2005,NA,NA,3565,5990,380,NA,86,NA,NA,NA,NA,NA,NA,NA,200,99,NA,NA,19913,NA,3561,NA,NA,19910
"Scaffold_336",240080,138678,1079,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,105,182,NA,NA,40,NA,NA,3038,299,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,168,61921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1626,NA,NA,NA,2421,10874,4134,609,527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6599,NA,850,NA,NA,6875
"Scaffold_314",123513,62223,26,336,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12970,315,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,36,NA,149,31515,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,686,NA,NA,NA,298,2140,48,NA,495,NA,NA,NA,221,NA,NA,NA,NA,NA,NA,NA,6629,NA,1482,NA,NA,3881
"Scaffold_166",92392,50977,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,288,NA,NA,90,4239,25,NA,NA,NA,NA,NA,NA,95,NA,NA,19,NA,NA,NA,84,25962,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,635,152,779,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2554,NA,487,NA,NA,5032
"Scaffold_365",319582,218121,8804,355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,48,NA,NA,NA,NA,502,4432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,40525,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,479,NA,NA,NA,555,10912,729,4244,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21083,NA,606,NA,NA,5952
"Scaffold_155",896135,674005,1280,362,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,199,1805,24068,643,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,3519,NA,298,69672,160,93,295,1249,NA,NA,NA,NA,NA,NA,1878,438,NA,NA,2697,8299,890,4615,773,9045,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,56071,NA,2105,NA,NA,31400
"Scaffold_181",8216911,7725469,26764,1199,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,235,NA,NA,NA,60,229,2648,43085,855,NA,NA,NA,NA,103,NA,NA,NA,NA,NA,NA,105,NA,152,49982,246,336,NA,1,NA,NA,NA,14,133,NA,686,427,NA,NA,2322,27751,2729,1297,1637,449,NA,NA,NA,NA,NA,NA,52,NA,22,5,251827,NA,3467,NA,NA,72621
"Scaffold_30",77475,73489,1184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,1,NA,NA,NA,NA,467,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,970,NA,NA,NA,NA,519
"Scaffold_147",50779,12770,2958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12705,139,23,NA,NA,NA,NA,NA,NA,NA,NA,641,NA,NA,NA,193,8824,189,2600,1438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966,NA,4460,NA,NA,1273
"Scaffold_81",136055,102160,515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292,8081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,NA,105,8084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259,134,NA,NA,35,200,NA,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12941,NA,432,NA,NA,2498
"Scaffold_150",384618,278954,5754,48,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,57,NA,60,89,48,NA,448,12127,3,NA,NA,NA,NA,NA,14,67,NA,NA,NA,NA,NA,NA,4,39968,201,240,118,866,NA,NA,NA,NA,NA,NA,1234,238,NA,NA,2731,3942,548,1137,1546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16632,NA,3630,NA,NA,13909
"Scaffold_304",102271,86929,718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384,449,24,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2692,148,NA,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8081,NA,369,NA,NA,1865
"Scaffold_406",8805910,8495479,16961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,NA,NA,35,1969,299,1247,12980,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,4973,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,204,NA,NA,NA,761,7374,738,517,690,NA,NA,NA,405,NA,NA,117,780,110,17,NA,208997,NA,17671,219,NA,32898
"Scaffold_173",270691,220305,9252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,439,4140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362,51,NA,NA,718,2945,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16850,NA,410,NA,NA,7307
"Scaffold_387",121119,93381,678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,3019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2244,NA,NA,NA,59,1880,14,NA,602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5947,NA,NA,NA,NA,1621
"Scaffold_43",4092272,3956863,1108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,NA,NA,NA,144,122,551,656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1093,135,22,NA,NA,NA,NA,NA,75,NA,NA,39,NA,NA,NA,225,9955,426,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,164,NA,NA,95922,NA,685,344,NA,23556
