"seqnames","seqlengths","nonrepeat","DNA","DNA-LINE","DNA-LINE-LTR","DNA-LINE-LTR-RC","DNA-LINE-LTR-RC-tandem_repeat","DNA-LINE-LTR-RC-Unknown","DNA-LINE-LTR-tandem_repeat-Unknown","DNA-LINE-LTR-Unknown","DNA-LINE-RC","DNA-LINE-RC-tandem_repeat","DNA-LINE-RC-tandem_repeat-Unknown","DNA-LINE-RC-Unknown","DNA-LINE-tandem_repeat","DNA-LINE-tandem_repeat-Unknown","DNA-LINE-Unknown","DNA-LTR","DNA-LTR-RC","DNA-LTR-RC-tandem_repeat","DNA-LTR-RC-tandem_repeat-Unknown","DNA-LTR-RC-Unknown","DNA-LTR-tandem_repeat","DNA-LTR-tandem_repeat-Unknown","DNA-LTR-Unknown","DNA-RC","DNA-RC-Simple","DNA-RC-Simple-tandem_repeat","DNA-RC-Simple-tandem_repeat-Unknown","DNA-RC-Simple-Unknown","DNA-RC-tandem_repeat","DNA-RC-tandem_repeat-Unknown","DNA-RC-Unknown","DNA-rRNA","DNA-Satellite-tandem_repeat","DNA-Simple-tandem_repeat","DNA-Simple-tandem_repeat-Unknown","DNA-tandem_repeat","DNA-tandem_repeat-Unknown","DNA-Unknown","LINE","LINE-LTR","LINE-LTR-RC","LINE-LTR-RC-tandem_repeat","LINE-LTR-RC-tandem_repeat-Unknown","LINE-LTR-RC-Unknown","LINE-LTR-Simple","LINE-LTR-Simple-tandem_repeat","LINE-LTR-Simple-tandem_repeat-Unknown","LINE-LTR-Simple-Unknown","LINE-LTR-tandem_repeat","LINE-LTR-tandem_repeat-Unknown","LINE-LTR-Unknown","LINE-RC","LINE-RC-Simple-Unknown","LINE-RC-tandem_repeat","LINE-RC-tandem_repeat-Unknown","LINE-RC-Unknown","LINE-rRNA","LINE-Satellite","LINE-Satellite-tandem_repeat","LINE-Satellite-tandem_repeat-Unknown","LINE-Simple","LINE-Simple-tandem_repeat","LINE-Simple-tandem_repeat-Unknown","LINE-Simple-Unknown","LINE-tandem_repeat","LINE-tandem_repeat-Unknown","LINE-Unknown","LTR","LTR-RC","LTR-RC-Satellite","LTR-RC-Simple","LTR-RC-Simple-tandem_repeat","LTR-RC-Simple-tandem_repeat-Unknown","LTR-RC-Simple-Unknown","LTR-RC-tandem_repeat","LTR-RC-tandem_repeat-Unknown","LTR-RC-Unknown","LTR-rRNA","LTR-Satellite","LTR-Simple","LTR-Simple-tandem_repeat","LTR-Simple-tandem_repeat-Unknown","LTR-Simple-Unknown","LTR-tandem_repeat","LTR-tandem_repeat-Unknown","LTR-Unknown","RC","RC-Satellite","RC-Satellite-tandem_repeat","RC-Satellite-tandem_repeat-Unknown","RC-Satellite-Unknown","RC-Simple","RC-Simple-tandem_repeat","RC-Simple-tandem_repeat-Unknown","RC-Simple-Unknown","RC-tandem_repeat","RC-tandem_repeat-Unknown","RC-Unknown","rRNA","rRNA-Satellite","rRNA-Satellite-tandem_repeat","rRNA-tandem_repeat","Satellite","Satellite-tandem_repeat","Satellite-tandem_repeat-Unknown","Satellite-tRNA","Satellite-tRNA-Unknown","Satellite-Unknown","Simple","Simple-tandem_repeat","Simple-tandem_repeat-Unknown","Simple-Unknown","snRNA","snRNA-Unknown","tandem_repeat","tandem_repeat-tRNA","tandem_repeat-Unknown","tRNA","Unknown"
"contig_183",1937546,917802,68772,38,NA,NA,NA,NA,NA,53,19,NA,NA,56,147,NA,243,2730,349,5,65,NA,NA,NA,7,2762,63,27,NA,NA,22,71,226,NA,NA,16,NA,5043,318,9802,228707,4479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,1265,NA,NA,NA,112,NA,NA,NA,NA,38,NA,NA,NA,1088,50,3532,403882,3186,NA,NA,NA,NA,NA,735,153,835,NA,NA,185,NA,NA,NA,9502,4169,46565,32931,NA,NA,NA,NA,43,NA,NA,153,7595,1663,10785,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,124,8,116,160,NA,NA,73539,NA,7207,NA,85172
"contig_72",1019944,407044,9911,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,105,27,46,NA,NA,NA,NA,NA,NA,881,NA,NA,NA,NA,67,NA,9,NA,NA,NA,NA,61,NA,198,129152,3093,77,NA,NA,218,38,NA,NA,NA,248,503,567,634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4307,39,2250,273828,2511,NA,NA,NA,NA,NA,559,808,3894,NA,NA,122,NA,59,27,5421,3499,44111,21191,NA,NA,NA,NA,NA,NA,NA,NA,1192,217,2784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,31,NA,75,NA,NA,22779,NA,13237,NA,64083
"contig_300",1442781,491534,27467,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,14,NA,NA,NA,NA,NA,NA,275,729,32,21,NA,NA,272,NA,35,NA,NA,NA,NA,2076,347,3545,44255,2226,NA,NA,278,186,NA,NA,NA,NA,414,NA,254,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,2242,184,595,211682,388,NA,NA,NA,NA,NA,26,104,28,NA,NA,NA,NA,76,18,7867,1521,25115,25201,NA,NA,NA,NA,NA,NA,NA,NA,1365,721,4194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,96,56,NA,NA,467065,NA,37468,NA,82743
"contig_269",1141278,435295,30486,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,785,57,NA,NA,110,1261,7,1079,577,32,21,NA,NA,71,NA,23,NA,NA,NA,NA,4658,55,2166,165989,5264,NA,NA,NA,NA,NA,NA,NA,NA,243,NA,38,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491,NA,1699,279023,1423,NA,NA,NA,NA,NA,1882,159,1102,NA,NA,NA,NA,NA,49,9235,4607,45761,22612,NA,NA,NA,NA,36,NA,NA,96,1223,770,4147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,64,NA,NA,27805,NA,5424,NA,85194
"contig_334",604624,308126,6973,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,10,94,NA,NA,NA,4,NA,3,752,NA,NA,NA,NA,14,NA,225,NA,NA,NA,NA,53,146,711,54035,1261,NA,NA,NA,486,NA,NA,NA,NA,40,42,111,164,NA,NA,NA,227,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,995,111813,2239,NA,NA,NA,NA,NA,122,380,593,NA,NA,NA,NA,NA,NA,1889,1096,8534,13370,NA,NA,NA,NA,NA,51,69,84,3898,319,6172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,37407,NA,15041,NA,26694
"contig_296",1651349,412603,29534,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,68,212,2,NA,NA,NA,NA,37,551,NA,NA,NA,NA,NA,35,133,NA,NA,NA,NA,367,140,2472,185559,1237,NA,NA,NA,NA,NA,NA,NA,NA,1546,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14896,NA,6603,179102,1042,NA,NA,NA,NA,NA,245,184,1279,NA,NA,NA,142,NA,NA,18018,5605,32423,10976,NA,NA,NA,NA,NA,NA,NA,NA,1095,417,2750,NA,NA,NA,NA,NA,1506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,668803,NA,27507,NA,44228
"contig_94",1354663,510375,45729,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,6,635,8,NA,NA,NA,NA,NA,544,334,NA,NA,NA,NA,84,NA,157,NA,NA,NA,NA,6040,765,2483,162146,4495,23,NA,NA,NA,NA,NA,NA,NA,94,NA,479,173,NA,25,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,1120,147,732,311599,912,NA,NA,NA,NA,NA,689,570,2496,NA,NA,NA,NA,NA,NA,8292,3507,50358,48838,NA,NA,NA,NA,245,59,NA,NA,5971,1052,7874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,21,NA,NA,NA,NA,85754,NA,13125,NA,76366
"contig_332",550236,304350,15496,19,NA,NA,NA,NA,NA,53,NA,16,NA,NA,NA,NA,14,3,NA,NA,NA,NA,NA,NA,NA,210,NA,NA,NA,NA,19,NA,33,NA,NA,NA,NA,245,NA,1903,40142,945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,609,96,NA,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,757,95,279,104824,573,NA,NA,NA,NA,NA,NA,NA,380,NA,NA,NA,NA,NA,NA,3083,1835,11574,7130,NA,NA,NA,NA,NA,NA,NA,NA,265,288,1573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19368,NA,3619,NA,30196
"contig_321",993431,366250,31223,623,1,NA,NA,NA,NA,3,7,NA,NA,NA,NA,NA,562,294,94,NA,NA,NA,39,NA,222,324,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,856,193,2093,137277,3040,NA,NA,NA,4,NA,NA,18,26,NA,86,195,161,NA,1,NA,266,NA,NA,NA,NA,21,17,NA,NA,2725,242,2851,267883,1673,NA,NA,NA,NA,NA,34,248,660,NA,NA,75,NA,22,10,4730,4013,34339,12100,NA,NA,NA,NA,33,22,NA,55,925,251,3039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31054,NA,9691,NA,72828
"contig_176",1322623,436141,31495,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,178,NA,NA,NA,70,NA,NA,113,415,NA,NA,NA,NA,146,NA,147,NA,NA,NA,NA,342,38,2260,197239,5550,13,NA,549,391,23,NA,NA,NA,477,202,529,69,NA,3,NA,333,NA,NA,NA,NA,NA,NA,NA,NA,833,5,3650,417339,2370,NA,NA,NA,NA,NA,1296,380,2114,NA,NA,51,NA,NA,NA,12680,6117,53547,16564,NA,NA,NA,NA,NA,NA,NA,NA,5747,1574,2222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,37456,NA,11047,NA,70821
"contig_189",2511185,1037690,81203,66,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,36,NA,900,393,21,NA,NA,NA,NA,NA,1125,1099,NA,NA,NA,NA,137,74,8,NA,NA,NA,NA,2664,1189,3454,313846,4708,NA,NA,130,336,NA,NA,NA,NA,13,184,1532,169,NA,NA,NA,983,NA,NA,NA,NA,NA,NA,NA,NA,1544,75,3726,613141,5509,NA,36,NA,NA,102,4707,1089,7051,NA,NA,79,NA,NA,NA,22718,8775,87154,48362,NA,NA,NA,NA,160,17,21,374,2725,2219,12027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223,26,NA,125,NA,NA,80551,NA,18774,NA,137862
"contig_245",2332842,1145912,82237,2817,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,477,536,4,NA,NA,76,NA,NA,604,415,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,1828,1147,6006,202897,12300,NA,NA,NA,NA,NA,NA,NA,NA,43,246,5858,959,NA,44,NA,613,NA,NA,NA,NA,NA,NA,NA,NA,3789,196,11822,510101,739,NA,NA,NA,NA,NA,87,125,401,NA,NA,1,NA,NA,10,13951,6172,54638,49746,NA,NA,NA,NA,37,24,21,129,5059,941,2701,48,NA,NA,1742,362,NA,NA,NA,NA,NA,207,77,NA,120,NA,NA,76029,NA,9206,NA,119322
"contig_127",1202605,412109,18957,NA,NA,NA,NA,NA,NA,54,4,NA,NA,3,NA,NA,NA,347,90,NA,NA,2,NA,NA,NA,349,NA,NA,NA,NA,35,NA,324,NA,NA,NA,NA,55,NA,2814,146418,2157,354,NA,NA,1854,NA,NA,NA,NA,617,NA,156,1944,NA,NA,NA,1687,NA,NA,NA,NA,NA,NA,NA,NA,749,79,3846,307532,3063,NA,NA,NA,NA,NA,275,643,2206,NA,NA,NA,NA,38,13,9332,5983,54114,13388,NA,NA,NA,NA,NA,NA,NA,NA,696,2271,4631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,62,NA,NA,111751,NA,14877,NA,76664
"contig_132",23298,4519,1571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,11011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,2325,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326,790,1352,NA,NA,NA,NA,NA,NA,NA,NA,233,212,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,NA,30,NA,279
"contig_326",591937,279792,29418,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2454,NA,NA,NA,NA,NA,NA,300,281,NA,NA,NA,NA,183,185,232,NA,NA,NA,NA,875,28,3125,93175,2679,NA,NA,NA,NA,NA,NA,NA,NA,197,NA,94,14,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,655,NA,677,80058,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,1688,537,9468,16413,NA,NA,NA,NA,NA,NA,NA,NA,8218,1678,2263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19693,NA,1610,NA,35251
"contig_317",759160,284722,10205,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,691,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,426,NA,435,55102,463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,798,197205,402,NA,NA,NA,NA,NA,56,54,318,NA,NA,NA,NA,NA,NA,4245,2904,23583,15490,NA,NA,NA,NA,NA,NA,NA,NA,467,NA,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,NA,NA,NA,NA,NA,83876,NA,12033,NA,64636
"contig_41",312868,147788,8804,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503,NA,254,43000,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326,NA,123,65744,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1225,1765,7720,440,NA,NA,NA,NA,NA,NA,NA,NA,204,NA,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8908,NA,1054,NA,24112
"contig_3",2313049,941538,37207,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,476,475,100,11,1,NA,NA,NA,121,475,NA,NA,NA,NA,NA,7,43,NA,NA,NA,NA,1995,760,1819,237011,4765,NA,NA,271,200,NA,NA,NA,NA,470,271,278,279,NA,229,NA,431,NA,NA,NA,NA,NA,NA,NA,NA,4584,98,7943,555241,1720,NA,602,NA,NA,NA,921,644,1857,NA,NA,452,58,124,171,12120,6708,62940,50823,NA,NA,NA,NA,62,NA,NA,50,3388,1002,7741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,NA,NA,51,NA,NA,207036,NA,15814,NA,141500
"contig_44",505567,222252,8738,NA,NA,NA,NA,NA,NA,NA,205,NA,5,NA,NA,NA,122,12,5,NA,NA,82,NA,NA,179,860,31,22,NA,NA,8,21,251,NA,NA,NA,NA,37,337,1491,58288,2453,NA,NA,NA,NA,NA,NA,NA,NA,97,NA,22,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,154,45,2612,115284,755,NA,NA,NA,NA,NA,214,85,1435,NA,NA,NA,NA,NA,35,3021,3087,18387,13436,NA,NA,NA,NA,NA,NA,NA,NA,1097,397,3684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,72,NA,NA,8926,NA,2508,NA,34718
"contig_21",2386023,996472,103142,981,NA,NA,NA,51,NA,NA,202,NA,NA,94,826,NA,158,1018,56,NA,NA,NA,NA,NA,1130,991,31,21,1,NA,62,1,100,NA,NA,NA,NA,1057,2799,10257,266404,5742,505,52,278,558,NA,NA,NA,NA,252,NA,1203,827,1,27,NA,283,NA,NA,NA,NA,NA,NA,NA,NA,6184,164,6014,561525,3837,NA,NA,NA,NA,NA,826,933,2502,NA,NA,32,NA,NA,17,13433,5706,70944,58833,NA,NA,NA,NA,147,NA,NA,54,5741,1644,14707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,44,NA,80,NA,NA,98555,NA,11799,NA,126622
