"seqnames","seqlengths","nonrepeat","DNA","DNA-LINE","DNA-LINE-LTR","DNA-LINE-LTR-RC","DNA-LINE-LTR-RC-Unknown","DNA-LINE-LTR-tandem_repeat","DNA-LINE-LTR-tandem_repeat-Unknown","DNA-LINE-LTR-Unknown","DNA-LINE-RC","DNA-LINE-RC-tandem_repeat","DNA-LINE-RC-tandem_repeat-Unknown","DNA-LINE-RC-Unknown","DNA-LINE-tandem_repeat","DNA-LINE-tandem_repeat-Unknown","DNA-LINE-Unknown","DNA-LTR","DNA-LTR-RC","DNA-LTR-RC-tandem_repeat","DNA-LTR-RC-tandem_repeat-Unknown","DNA-LTR-RC-Unknown","DNA-LTR-tandem_repeat","DNA-LTR-tandem_repeat-Unknown","DNA-LTR-Unknown","DNA-RC","DNA-RC-tandem_repeat","DNA-RC-tandem_repeat-Unknown","DNA-RC-Unknown","DNA-Satellite-tandem_repeat","DNA-Simple","DNA-Simple-Unknown","DNA-tandem_repeat","DNA-tandem_repeat-Unknown","DNA-Unknown","LINE","LINE-LTR","LINE-LTR-RC","LINE-LTR-RC-tandem_repeat","LINE-LTR-RC-tandem_repeat-Unknown","LINE-LTR-RC-Unknown","LINE-LTR-Simple","LINE-LTR-Simple-tandem_repeat","LINE-LTR-Simple-tandem_repeat-Unknown","LINE-LTR-Simple-Unknown","LINE-LTR-tandem_repeat","LINE-LTR-tandem_repeat-Unknown","LINE-LTR-Unknown","LINE-RC","LINE-RC-tandem_repeat","LINE-RC-tandem_repeat-Unknown","LINE-RC-Unknown","LINE-rRNA","LINE-rRNA-tandem_repeat","LINE-rRNA-Unknown","LINE-Satellite","LINE-Simple","LINE-Simple-tandem_repeat","LINE-Simple-tandem_repeat-Unknown","LINE-Simple-Unknown","LINE-tandem_repeat","LINE-tandem_repeat-Unknown","LINE-Unknown","LTR","LTR-RC","LTR-RC-Simple","LTR-RC-Simple-tandem_repeat","LTR-RC-tandem_repeat","LTR-RC-tandem_repeat-Unknown","LTR-RC-Unknown","LTR-rRNA","LTR-rRNA-Satellite","LTR-rRNA-Satellite-Simple","LTR-rRNA-Satellite-tandem_repeat","LTR-rRNA-Simple","LTR-rRNA-Unknown","LTR-Satellite","LTR-Satellite-Unknown","LTR-Simple","LTR-Simple-tandem_repeat","LTR-Simple-tandem_repeat-Unknown","LTR-Simple-Unknown","LTR-tandem_repeat","LTR-tandem_repeat-Unknown","LTR-tRNA","LTR-tRNA-Unknown","LTR-Unknown","RC","RC-Satellite","RC-Satellite-tandem_repeat","RC-Simple","RC-Simple-tandem_repeat","RC-Simple-tandem_repeat-Unknown","RC-Simple-Unknown","RC-tandem_repeat","RC-tandem_repeat-Unknown","RC-Unknown","rRNA","rRNA-Satellite","rRNA-Satellite-Simple","rRNA-Satellite-Simple-tandem_repeat","rRNA-Satellite-tandem_repeat","rRNA-Simple","rRNA-Simple-tandem_repeat","rRNA-tandem_repeat","rRNA-tandem_repeat-Unknown","rRNA-Unknown","Satellite","Satellite-Simple","Satellite-Simple-tandem_repeat","Satellite-tandem_repeat","Satellite-tandem_repeat-Unknown","Satellite-Unknown","Simple","Simple-tandem_repeat","Simple-tandem_repeat-Unknown","Simple-Unknown","tandem_repeat","tandem_repeat-tRNA","tandem_repeat-Unknown","tRNA","tRNA-Unknown","Unknown"
"Scaffold_348",173843,25031,4747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,178,142,523,NA,NA,1,100,NA,NA,NA,NA,NA,NA,229,NA,525,12967,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,16,58,88137,394,NA,NA,NA,NA,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1948,910,NA,NA,7814,17532,NA,NA,NA,NA,NA,NA,344,137,1714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2568,NA,574,NA,NA,6656
"Scaffold_383",629631,160863,9931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,748,NA,2827,978,5,36,NA,NA,NA,NA,NA,6,759,NA,29,904,NA,NA,NA,7,3803,2158,52985,917,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,98,772,NA,NA,NA,NA,NA,NA,NA,NA,4416,3104,2913,209322,514,NA,NA,126,NA,60,3,NA,NA,NA,NA,90,NA,NA,3,24,NA,NA,6712,2776,NA,NA,29316,36830,NA,NA,NA,NA,NA,NA,863,599,6453,11438,NA,NA,NA,NA,NA,NA,10,NA,18,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,30007,NA,9646,NA,NA,36427
"Scaffold_280",3960505,2454667,114901,1729,47,68,4,NA,NA,NA,59,26,45,152,NA,NA,743,393,500,NA,110,969,NA,167,1450,1312,171,109,2471,NA,NA,NA,3009,2537,23257,397423,2086,259,NA,NA,181,NA,NA,NA,NA,204,NA,193,907,895,100,225,NA,NA,NA,NA,NA,NA,NA,NA,5951,260,11310,334321,6568,NA,NA,1143,429,5390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8304,3896,NA,NA,41853,108149,120,NA,NA,NA,NA,NA,15841,6368,14794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369,NA,NA,NA,NA,NA,NA,32,NA,25,147297,NA,16944,NA,NA,219772
"Scaffold_256",988651,432637,36803,47,NA,NA,NA,NA,NA,NA,66,NA,NA,51,9,NA,127,13,NA,NA,NA,486,12,NA,128,5256,562,NA,428,NA,NA,NA,2683,303,2881,94341,851,NA,NA,NA,369,NA,NA,NA,NA,77,NA,24,192,31,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,871,163,1754,203546,1218,NA,NA,63,383,2607,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,6750,3582,NA,NA,25581,54381,NA,NA,NA,NA,NA,NA,3964,1389,12814,88,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,10,64,NA,92,29387,NA,9386,NA,NA,51971
"Scaffold_336",240080,57236,3398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,7,NA,NA,NA,NA,NA,NA,1227,222,NA,102,NA,NA,NA,NA,NA,296,12892,531,NA,NA,NA,NA,NA,NA,NA,NA,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,186,113718,539,NA,NA,NA,NA,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3487,678,NA,NA,8437,12529,NA,NA,NA,NA,NA,NA,1133,3739,1475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2896,NA,1784,NA,NA,13123
"Scaffold_50",508978,152263,13281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,7,NA,105,NA,NA,145,NA,NA,NA,255,401,2352,40592,962,NA,NA,NA,NA,NA,NA,NA,NA,118,NA,308,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1869,2243,1232,161302,335,NA,NA,43,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4829,897,NA,NA,23281,29574,NA,NA,NA,NA,NA,NA,1631,1561,3596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15010,NA,4012,NA,NA,46511
"Scaffold_329",471541,81323,4494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,382,945,NA,NA,2,50,NA,416,875,NA,NA,NA,35,363,1536,72068,192,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,31,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,748,20,3917,192598,1080,NA,NA,25,303,1912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3415,3767,NA,NA,14448,5502,NA,NA,NA,NA,NA,NA,576,1734,2494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17743,NA,13749,NA,NA,44663
"Scaffold_116",27208793,24268583,152418,126,51,19,NA,NA,NA,NA,173,NA,NA,NA,NA,3,133,5461,72,NA,264,850,80,419,589,2324,41,878,1677,NA,NA,NA,1936,2741,22099,226468,1231,1041,14,431,2387,223,107,236,NA,56,NA,124,2886,1491,391,571,1559,NA,NA,NA,228,230,180,NA,3737,1628,22887,194050,6650,NA,NA,975,583,9989,NA,NA,NA,NA,NA,NA,NA,NA,288,851,1195,50,8003,4173,NA,NA,36388,133255,66,NA,NA,NA,NA,NA,16734,7187,27395,3199,NA,NA,NA,NA,NA,NA,238,NA,198,15682,NA,NA,14478,2885,3305,4277,5081,1588,784,1421658,NA,65973,188,NA,492384
"Scaffold_190",8454,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,851,68,NA,NA,1179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scaffold_150",384618,112860,10334,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,NA,12,66,NA,60,95,NA,NA,NA,58,NA,461,30265,264,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,14,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572,159086,366,NA,NA,240,118,1047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3267,376,NA,NA,14642,5607,NA,NA,NA,NA,NA,NA,1019,1345,2288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9763,NA,7609,NA,NA,22507
"Scaffold_22",541229,143258,7270,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625,NA,NA,NA,NA,NA,NA,262,29,70,NA,50,NA,NA,NA,160,286,2641,66732,474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,18,1440,216068,1061,238,199,200,NA,602,NA,NA,NA,NA,NA,NA,NA,NA,117,67,NA,NA,2977,5208,NA,NA,18021,14305,NA,NA,NA,NA,NA,NA,1399,672,847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,NA,NA,63,7950,NA,8882,NA,NA,38564
"Scaffold_36",780418,299028,31702,1066,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,164,NA,NA,813,NA,NA,241,139,NA,281,405,NA,NA,NA,2043,967,4564,42808,247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,638,NA,NA,133,NA,NA,NA,NA,NA,NA,NA,NA,1271,6,65,180737,432,NA,NA,84,3,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9745,3515,NA,NA,24623,42991,NA,NA,NA,NA,NA,NA,4629,4104,9851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,32,43730,NA,11956,NA,NA,56449
"Scaffold_181",8216911,7215800,82354,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,237,67,NA,NA,NA,NA,52,21,1698,247,310,482,NA,NA,NA,2477,2644,17209,95270,1268,25,NA,NA,1332,NA,NA,NA,NA,190,NA,19,2419,340,639,520,NA,NA,NA,NA,NA,NA,NA,NA,650,80,5411,139496,6407,NA,NA,1521,642,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,286,NA,3191,2545,NA,NA,16140,142225,NA,NA,NA,NA,NA,NA,10606,4272,13409,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,411,403,72,206,215090,NA,15145,336,NA,208827
"Scaffold_362",173090,91260,11592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,31,49,NA,NA,NA,NA,35,51,66,NA,NA,NA,NA,NA,NA,341,317,2282,3159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,676,1578,29748,581,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,56,NA,NA,4638,5010,NA,NA,NA,NA,NA,NA,622,6,396,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4806,NA,3027,70,NA,12217
"Scaffold_225",504029,188752,12182,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,NA,NA,NA,NA,NA,NA,NA,271,NA,NA,51,NA,NA,NA,232,177,1896,77161,552,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,1,189,973,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,47,2591,136105,470,NA,NA,55,46,900,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,32,2389,1383,NA,NA,11258,16641,NA,NA,NA,NA,NA,NA,371,327,1357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13866,NA,2939,NA,NA,30278
"Scaffold_155",896135,224614,7024,439,NA,NA,NA,NA,NA,NA,NA,NA,NA,380,NA,NA,NA,14,NA,NA,NA,NA,NA,14,9,NA,NA,NA,817,NA,NA,NA,193,684,5479,74958,1114,45,NA,NA,314,NA,NA,NA,NA,52,NA,62,223,NA,84,405,3213,35,52,NA,NA,NA,NA,NA,6860,43,1736,273650,3157,NA,NA,145,298,1561,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,78,NA,7816,4192,NA,NA,27284,67218,NA,NA,NA,NA,NA,NA,5597,5507,13533,25834,1085,NA,NA,1450,75,35,1321,NA,7,702,NA,NA,88,NA,NA,NA,9,NA,NA,23851,NA,12018,NA,NA,90758
"Scaffold_165",22139,1076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,NA,NA,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503,NA,72,NA,NA,1236
"Scaffold_127",330409,142775,6791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,380,434,32842,597,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,900,92983,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2135,523,NA,NA,8834,2154,NA,NA,NA,NA,NA,NA,948,420,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13847,NA,4270,NA,NA,18910
